rid,time,lon,lat,depth,mag,FI,APF,skew,band_skew,kurt,band_kurt,evt_type
61731428,1997-11-08T16:31:14.000000Z,-166.0665,54.156666666666666,7300.0,1.2,-0.19439585737977721,3.4661354581673307,1.1007197894483474,1.0325111279009027,4.329869803491442,3.907146600131343,Uncertain
61732398,1997-12-01T13:46:38.960000Z,-166.06616666666667,54.163333333333334,8100.0,1.3,-0.0996105263076073,3.665338645418326,0.5516585981223103,0.8160122622732926,3.1782909600256035,3.9836190309284314,Uncertain
61733953,1998-01-02T21:19:03.510000Z,-166.0225,54.170833333333334,5550.0,1.3,0.15210146824450382,6.6932270916334655,0.42111308113886897,-0.007441825002616709,2.2008966470145377,2.5975340701083063,VT
61733968,1998-01-03T02:00:24.280000Z,-165.9845,54.14566666666666,4190.0,1.5,0.09421033638245097,6.812749003984062,0.29955808569044584,0.6095703372996211,2.462715078595387,2.706689937324845,VT
61736868,1998-03-04T07:38:37.470000Z,-166.07366666666667,54.162333333333336,7930.0,1.5,0.05160523440004601,8.047808764940239,1.0702196723090127,1.395624195721906,3.4229427748692243,4.917037379446873,VT
61736873,1998-03-04T12:08:38.010000Z,-166.004,54.159333333333336,4390.0,1.3,-0.1205052980673172,1.7529880478087652,1.6244577492380963,0.8877240219821557,8.104211877700337,4.7190674013279805,Uncertain
61737378,1998-03-16T04:08:05.260000Z,-166.02133333333333,54.16416666666667,6300.0,1.2,-0.17303866477888644,3.8247011952191237,0.612334689484344,0.8164036681314236,3.5062324327752754,4.599746529557751,Uncertain
61738218,1998-04-04T13:33:59.110000Z,-166.00983333333335,54.158,4270.0,1.0,0.0005970644800479255,4.940239043824701,-0.05834313958057232,0.37293008386472815,2.069039161317152,3.230162171621967,VT
61738423,1998-04-10T06:58:48.010000Z,-165.993,54.1665,5470.0,1.0,-0.015313297263497972,5.378486055776892,0.22212555924184113,0.230240734936545,2.3042017113157276,1.992799474893645,Uncertain
61738553,1998-04-15T15:37:54.160000Z,-165.98566666666667,54.151833333333336,3110.0,0.9,0.018066930078657808,4.7410358565737045,0.9560035246147264,0.36023944515893447,3.202862351221194,2.3678666715228904,VT
61738563,1998-04-15T15:38:03.310000Z,-165.9765,54.146166666666666,1260.0,0.6,-0.1755622937578197,2.3904382470119523,0.9768974385297929,1.0647825747739577,3.9657542184337147,4.31995131105825,Uncertain
61738568,1998-04-15T15:38:09.960000Z,-165.98866666666666,54.14266666666666,2230.0,0.0,-0.20358044683894708,2.5896414342629486,0.9992142073117525,0.9365685020793392,3.7445280796346294,3.089628852939662,LP
61738573,1998-04-15T15:38:53.860000Z,-165.99883333333332,54.14683333333333,3310.0,0.3,-0.14688926345312417,2.669322709163347,0.9052096519019304,0.34548165885160864,3.091005684338477,2.2953346897080005,Uncertain
61738578,1998-04-15T15:38:55.940000Z,-165.99783333333335,54.147166666666664,4400.0,1.3,-0.1855185837055034,3.2669322709163344,1.374474094052879,0.951894013542306,4.994320514336367,3.201588243660037,Uncertain
61738583,1998-04-15T15:39:01.830000Z,-165.96216666666666,54.146,3240.0,0.1,-0.46345174349460083,3.1075697211155378,2.8184929640855643,1.766271595681664,11.779119237301499,5.1550070130534635,LP
61738588,1998-04-15T15:39:08.920000Z,-165.994,54.1745,2070.0,0.2,-0.1531527583617029,3.386454183266932,0.825104311092481,0.6162517931024359,3.2329907707822194,3.1015541506340782,Uncertain
61738873,1998-04-21T19:28:20.880000Z,-165.9785,54.15533333333333,1450.0,0.4,-0.0982226311975129,3.3466135458167336,0.5707910466822943,1.309309319560513,3.9370690851119154,5.93254690956029,Uncertain
61739028,1998-04-25T11:11:51.540000Z,-166.00066666666666,54.18833333333333,6480.0,1.1,-0.09574930809857458,3.8247011952191237,0.7083892890389059,0.8895225174808015,3.2754940523402616,3.6553418483892997,Uncertain
61739263,1998-04-30T14:53:28.600000Z,-165.98916666666668,54.154833333333336,3300.0,1.1,-0.13213747317925323,3.2270916334661353,1.3457651168486278,0.9698098384284132,5.381303435780681,4.08151203152028,Uncertain
61739488,1998-05-05T06:31:33.580000Z,-165.96916666666667,54.14116666666666,4030.0,1.1,0.15275401315568904,8.087649402390438,0.3466564572523782,0.07590213351611841,2.371928974396148,2.3106613854049916,VT
61739533,1998-05-06T06:46:27.160000Z,-166.00416666666666,54.16133333333333,5490.0,1.2,-0.2907687966643186,3.0278884462151394,2.8911282561996647,2.3019108999986058,14.277659114612314,8.13446312763838,Uncertain
61740648,1998-05-12T20:35:13.450000Z,-165.97166666666666,54.1465,3940.0,0.8,-0.014877910244187584,4.462151394422311,0.38848556012289864,0.32369935627349405,2.2386895386947847,2.116782865765488,Uncertain
61741083,1998-05-19T07:00:29.320000Z,-166.00766666666667,54.1565,4210.0,0.6,-0.06568121983196334,5.976095617529881,0.07691345432611905,0.7008412320883454,2.8394332916133824,4.4464579727160745,Uncertain
61743448,1998-07-06T15:07:14.420000Z,-166.0395,54.13483333333333,8560.0,1.3,-0.4716999402567447,1.593625498007968,5.890049132376856,1.8953957225986227,39.793744796100576,6.289672395312604,LP
61744963,1998-07-28T07:21:08.260000Z,-165.97016666666667,54.14666666666667,3700.0,1.0,-0.10460711749023065,5.219123505976095,0.4334903607935298,0.024339444667145254,2.1276858097125326,2.4268022366378026,Uncertain
61747243,1998-08-30T08:09:22.120000Z,-165.97316666666666,54.153166666666664,2830.0,0.9,0.00698583214534283,3.9442231075697207,0.7886318469485908,0.31741914937493354,2.9604690000489837,2.678394716111013,VT
61747668,1998-09-09T21:36:55.770000Z,-166.0735,54.144333333333336,6850.0,2.0,-0.08864497432639838,4.143426294820717,0.7146705309371628,0.5733821003845104,3.066064870063693,2.8437063753263154,Uncertain
61747698,1998-09-11T02:04:34.130000Z,-166.05716666666666,54.14566666666666,8080.0,2.3,-0.4725830762173851,2.7888446215139444,1.9892162538725513,1.1617406762517557,7.223217693876402,3.5660416898508047,LP
61747703,1998-09-11T02:09:51.960000Z,-166.0645,54.152166666666666,8410.0,1.6,-0.13926737505683165,3.904382470119522,0.6618220363744374,0.5954591013145678,3.0989198504275857,3.322298999506317,Uncertain
61748053,1998-09-19T09:08:48.490000Z,-165.97116666666668,54.146,2600.0,0.8,0.18007012213341808,7.9282868525896415,0.468861245078782,0.12248699518825991,3.0394103124001943,2.449021131754573,VT
61748198,1998-09-22T00:53:23.180000Z,-166.06666666666666,54.163666666666664,8560.0,1.7,-0.3608429748627876,3.0677290836653386,1.712512090820071,1.1945527106064269,6.524947505235049,3.8486719305641057,LP
61761358,1999-04-11T20:48:59.290000Z,-165.90616666666668,54.13316666666667,3780.0,1.6,-0.2965483520686612,3.1075697211155378,1.620517689286425,0.9787138531927939,5.330734031376851,3.0578703386909885,LP
61762743,1999-05-12T13:00:23.710000Z,-166.01583333333335,54.16766666666667,6630.0,1.3,-0.030908803398656988,4.940239043824701,0.27985628225789405,0.6275173899634973,2.4579864269533633,3.8058672989466733,Uncertain
61770673,1999-06-07T00:59:59.060000Z,-165.97133333333332,54.14633333333333,3910.0,0.7,-0.010196144555147174,4.621513944223108,0.5520021475705837,0.4065870852572323,2.6190715000165063,3.339815548401052,Uncertain
61771213,1999-06-15T12:39:15.700000Z,-165.97666666666666,54.147,3410.0,0.9,0.0071773322952095745,4.820717131474103,0.3829742582485572,0.33925044342111527,2.625531469249308,3.262213823179774,VT
