time,time_norm,lon,lat,depth,mag,FI,APF,skew,band_skew,kurt,band_kurt
1997-11-08 16:31:14+00:00,0.0,1.0,0.0,0.05796798464410155,0.5110443799317121,0.743295651082541,0.06154133782209542,0.02257355329165843,0.16540593626261962,0.0,0.0
1997-12-01 13:46:38.960000+00:00,0.0031159395254928023,0.7909446269167015,0.208886861777976,0.09199551178984858,0.5722254274557034,0.7415180896433696,0.15840657234256855,0.04308017498359344,0.18864440166659996,0.018364590896281646,0.03364194431923878
1998-01-02 21:19:03.510000+00:00,0.00751558579118765,0.5931504138752832,0.40653125413946434,0.12113195054755332,0.6267152299163681,0.7394665688801869,0.24772133312062344,0.06181845728713607,0.20932450941758154,0.035576967036529086,0.06463323210696556
1998-01-03 02:00:24.280000+00:00,0.0075421871134426196,0.41664901077840777,0.582907789858893,0.14280105010876065,0.6693952116402005,0.7361636343286427,0.3223657412046805,0.07837443755096297,0.22702821961265093,0.050821848587919924,0.09143482583234905
1998-03-04 07:38:37.470000+00:00,0.01574329880778649,0.2691638940683654,0.7302958541188458,0.15557711576910588,0.6960334543190266,0.7308581752651977,0.37695296862097255,0.0925119929374675,0.2410048415818313,0.06337804534594331,0.11246458166929105
1998-03-04 12:08:38.010000+00:00,0.01576882819923276,0.15527386046441394,0.8441166562063092,0.15935948677104295,0.7058399308090246,0.7230732409714911,0.40861768566895246,0.10456406775734435,0.2509215320447909,0.07298591838976205,0.12679331451111667
1998-03-16 04:08:05.260000+00:00,0.017357219110293372,0.075918417585634,0.923428851444158,0.15501045273339492,0.6995865170315252,0.7115988322804981,0.41720374331499793,0.11665482277404422,0.25817955922702585,0.0808884298559422,0.13492016342378435
1998-04-04 13:33:59.110000+00:00,0.019997616907277957,0.02829484595493592,0.9710335137474606,0.14388548918264915,0.678343987360786,0.6957271810344301,0.4051173336437425,0.13045479772546997,0.26416257234433227,0.08827349507562136,0.13799177544351612
1998-04-10 06:58:48.010000+00:00,0.020777165402095198,0.006161224453387515,0.9931687021244842,0.1277762883953893,0.6452005394179476,0.6763827684821874,0.3771276518795527,0.14561050779688806,0.2699761549415378,0.09531721101403491,0.13789352822210912
1998-04-15 15:37:54.160000+00:00,0.021507007701190444,0.0005131713599102472,0.9988339436089795,0.10974898955064732,0.6057133798599659,0.6550480523291753,0.3399524305318769,0.1615260708004978,0.27699316509422306,0.10223845301478741,0.13699027995661653
1998-04-15 15:38:03.310000+00:00,0.02150702212008832,0.000559471435138903,0.9988134869359162,0.09338563871615685,0.5670444348362162,0.6333138496023125,0.3012433875826061,0.17815725488247014,0.28614681093660244,0.10946603708078405,0.1372796198276188
1998-04-15 15:38:09.960000+00:00,0.021507032599396608,0.0005970133641854947,0.9988052388425435,0.08046445428327792,0.5346944844163701,0.6142157889027359,0.26922785618226247,0.19418587365468737,0.2964571771610283,0.1166829189592777,0.1393403672129275
1998-04-15 15:38:53.860000+00:00,0.021507101778589676,0.0006272017175092959,0.9988082520627453,0.07140654379886324,0.5119070677164486,0.6003170650832532,0.24942222492224847,0.20917196963913814,0.30728908966308605,0.12435187198510204,0.14357640580522876
1998-04-15 15:38:55.940000+00:00,0.021507105056328208,0.0006506407460238339,0.9988194296878106,0.06649078264339595,0.5003653149995824,0.5919905209856089,0.24249889479136394,0.22337875239200083,0.3191238297100023,0.1331584497404767,0.15042985023137054
1998-04-15 15:39:01.830000+00:00,0.021507114338001267,0.0006657407688497319,0.9988361401907568,0.065985112294566,0.49948539444920653,0.5891041084732074,0.24763191911196974,0.23505786305676402,0.33106368207081593,0.14220476895444306,0.15946716261961
1998-04-15 15:39:08.920000+00:00,0.021507125510677322,0.0006712432949504965,0.998854819324523,0.07005256418699635,0.5079212192578995,0.5898086906658117,0.26051902859645,0.24670456205532826,0.34235314128739003,0.15551461655905008,0.1704732298376803
1998-04-21 19:28:20.880000+00:00,0.02234570963785714,0.0006688877211686872,0.9988692172096176,0.07824237594533465,0.5241034369794083,0.592422264034193,0.2782284482240391,0.26002545488341566,0.3514376150600812,0.17578460657156147,0.18202956760661834
1998-04-25 11:11:51.540000+00:00,0.022843375392334827,0.0006617458668840559,0.9988752837770025,0.08897435546886528,0.5454922133111219,0.5972815898679755,0.30068339568094843,0.27274693284971785,0.3560917185559478,0.19992999785069826,0.19184925529458932
1998-04-30 14:53:28.600000+00:00,0.023545090455821278,0.0006500592649678616,0.9988697665808999,0.10093732864719607,0.5706870223625304,0.6041473590461393,0.3251025374571694,0.2842670403422917,0.35553918314482524,0.22539571326716218,0.19830151795965914
1998-05-05 06:31:33.580000+00:00,0.024178395208057795,0.0006307034889219132,0.9988496339472281,0.11369913021851535,0.5999715353266148,0.610546163567366,0.34709972299600594,0.29541540813636535,0.3508709456926411,0.25022776478105835,0.20097855653301608
1998-05-06 06:46:27.160000+00:00,0.024315955559414393,0.0006008642378230178,0.9988149108713615,0.1271939479932815,0.6327931205593693,0.6138397254618077,0.36253078818968537,0.3061888978252475,0.3436556120431096,0.27239090725023296,0.20021091791792764
1998-05-12 20:35:13.450000+00:00,0.025211229324877092,0.0005612504612355629,0.9987693776714013,0.14106506311519917,0.6667744099007172,0.6142986355903337,0.37213900829741137,0.31476375494071496,0.3340310213077018,0.28934312097228926,0.19585675065510247
1998-05-19 07:00:29.320000+00:00,0.026087261472967572,0.0005136589537704239,0.9987201603320539,0.15508648865959174,0.7007227631215975,0.6125008904500538,0.3779741671615678,0.32037868151647847,0.32241682853445425,0.29949984940567526,0.1881148834102914
1998-07-06 15:07:14.420000+00:00,0.032668590282754977,0.00046375076803739645,0.9986733638138257,0.16887108191326644,0.7348905489850877,0.6076700733431293,0.3798747468455698,0.32359392965007855,0.3108833940086505,0.3024440723801694,0.17819787628653458
1998-07-28 07:21:08.260000+00:00,0.03561986895711939,0.00041949889961712117,0.998634778141547,0.18137465654767282,0.7672786775506539,0.6003453443509515,0.37871970481589473,0.32375077088997717,0.3009618715948033,0.29781634734594165,0.16751599876320014
1998-08-30 08:09:22.120000+00:00,0.0401174523325097,0.0003847655976634279,0.9986107764274983,0.1917251473113386,0.7951636324541291,0.5932439956043922,0.37627181499239865,0.3180825472261783,0.2921934514283724,0.2845254045520565,0.15692947040899827
1998-09-09 21:36:55.770000+00:00,0.04155532949014957,0.00036359526508467077,0.9986011015800365,0.1991356113935273,0.8172271659776643,0.5890772140087418,0.37431113087447737,0.3049876251826057,0.2840375198398545,0.26268143296645163,0.14717925186355538
1998-09-11 02:04:34.130000+00:00,0.04171678704523003,0.00035770956509240115,0.9986046803992252,0.20355232375988203,0.8327818717385863,0.5895249074179342,0.3766323887454934,0.28520386973115225,0.2764176674959844,0.23435706655698635,0.1386625397616317
1998-09-11 02:09:51.960000+00:00,0.041717287893132844,0.0003677692034387281,0.9986172325058709,0.20441340801158292,0.8405352759713249,0.5955965757090572,0.386402549313771,0.260240603025315,0.26868389385601166,0.20227874474729807,0.13138535483415634
1998-09-19 09:08:48.490000+00:00,0.04284611666560803,0.00039451024411896185,0.9986317341870248,0.2010927069868001,0.8396471770208006,0.6073904022805738,0.40395483019665074,0.2314328973289046,0.25986962686143744,0.16933326909026747,0.12561047820576335
1998-09-22 00:53:23.180000+00:00,0.043207731104881186,0.00043650613043966224,0.9986448780897883,0.19388845992719117,0.8307379741349158,0.6239274034739217,0.42798080201645977,0.20079132817958867,0.25019030546097876,0.13865213569823143,0.12170477195582555
1999-04-11 20:48:59.290000+00:00,0.07068737084809887,0.0004889368952012418,0.9986541702914349,0.1838844145639965,0.815559357606389,0.6435367003003489,0.45634768999332226,0.16988208162363588,0.23911716310116626,0.11203075256145135,0.11866221315862666
1999-05-12 13:00:23.710000+00:00,0.07486378400482945,0.0005467505693923513,0.9986570257734346,0.1725260001750974,0.7970665659224327,0.664853808092321,0.4877009892106257,0.14057161931905832,0.22596232442872974,0.09091279878127805,0.11538307936254025
1999-06-07 00:59:59.060000+00:00,0.07833562666778579,0.0006077237882968767,0.9986501893799802,0.1607726591175654,0.7788360598462454,0.6862479201790499,0.519605177427862,0.11627015232188272,0.2115832680948989,0.07759153863728173,0.1118657708124581
1999-06-15 12:39:15.700000+00:00,0.07949096117231431,0.0006713974941041645,0.9986335077039452,0.148489338446667,0.7636296375061361,0.7067728015971062,0.5502405480008246,0.09541759902285009,0.19572920233877036,0.06837973863619641,0.10717806232650642
1999-06-30 02:48:07.520000+00:00,0.08147735238293222,0.0007347243813773385,0.9986106470728326,0.13580156401129323,0.7529641107280248,0.7260331724655086,0.5787027537817659,0.07643075860190783,0.17999076927858507,0.05940181297764145,0.10145916884309411
1999-06-30 05:00:13.290000+00:00,0.08148984209530248,0.0007909908416738887,0.9985843127333645,0.12413420729156432,0.7479952548310194,0.74232037409276,0.6030333280833065,0.06139820128508881,0.1669674193710759,0.051693536795316394,0.09578491010284754
1999-07-05 23:45:56.530000+00:00,0.08227704023303739,0.000836996233281706,0.9985571830793636,0.11400895425813562,0.7469028026927826,0.7536254520173797,0.6213325988892437,0.051482412805673464,0.15772439725312642,0.045955678114127665,0.09062046459441275
1999-08-31 07:22:26.990000+00:00,0.08994472719587217,0.0008714418702218119,0.998532636380995,0.1048795383964411,0.7449566589500085,0.7603237010750449,0.6334393942682117,0.04644884067634859,0.1524167829462466,0.04210958531385488,0.08635937903517774
2000-05-06 01:09:46.440000+00:00,0.12381139241719481,0.0008951232774010442,0.9985058280814656,0.09677948227613431,0.738698598850393,0.7634415026466109,0.6399659435371128,0.04566248052281001,0.1509384617644371,0.03993850308246577,0.08344808478714563
2000-06-16 09:28:29.710000+00:00,0.12944078743319193,0.0009107867360604871,0.9984713346033154,0.0909412278306666,0.7280205403900298,0.7630815235069619,0.6409214469600233,0.04922542203106868,0.15358061707929124,0.03960158507022364,0.08214991176848385
2000-06-30 08:55:30.540000+00:00,0.13134379960980727,0.0009201181699294292,0.9984295799150953,0.08857191438190098,0.7136864969304945,0.7601214830270729,0.6367550533427533,0.056275801644347465,0.15970246856619655,0.04065687554769189,0.08226376076337469
2000-07-12 13:09:35.930000+00:00,0.13300165043333276,0.0009193814122747668,0.99838466796802,0.09096900732534413,0.6963325045901366,0.7554547628845033,0.6284300083299972,0.06542959452743326,0.16828263210720618,0.042552272118794934,0.08374609412578862
2001-01-04 11:23:00.220000+00:00,0.15695436185557218,0.0009034410930954806,0.9983431489370196,0.0994080050300277,0.6774460177542163,0.7494895432002117,0.616643758826068,0.0760229541079291,0.1787655835786014,0.0451554410393525,0.0867042219326789
2001-01-23 16:39:16.050000+00:00,0.1595711567519331,0.0008701833141437909,0.9983035604770978,0.11427988218915308,0.6594668002851963,0.7431210571690113,0.6036560921633907,0.08713782400793861,0.19014360909417866,0.048256699401747497,0.09061089381333573
2002-05-09 00:33:36.930000+00:00,0.2236075479337518,0.0008179625144419944,0.9982611625775679,0.13533512600609265,0.6446052593453172,0.7373543493488829,0.5925939111025764,0.09729525073859847,0.20035008005146968,0.05136587469423866,0.09450370192462784
2002-05-31 17:50:18.460000+00:00,0.22670091608499884,0.000748693668795708,0.998211186527209,0.1625167033271086,0.6349960334423199,0.730956644051639,0.5814012303116749,0.10706572428744955,0.20823775195055882,0.054837402882881234,0.09778814128331023
